Station N.,Date,Time,Magnet ID,B (mT),Zero (mT),Numero de Caja,B Absoluto (mT),Medicion Numero
1,2025-01-15,14:35:12,551,9.5,6.08,A4,,
1,2025-01-15,14:35:29,552,9.46,6.08,A4,,
1,2025-01-15,14:35:47,553,9.58,6.08,A4,,
1,2025-01-15,14:36:19,554,9.48,6.08,A4,,
1,2025-01-15,14:36:40,555,9.54,6.08,A4,,
1,2025-01-15,14:37:09,556,9.54,6.08,A4,,
1,2025-01-15,14:37:35,557,9.46,6.08,A4,,
1,2025-01-15,14:38:02,558,9.46,6.08,A4,,
1,2025-01-15,14:38:24,559,9.52,6.08,A4,,
1,2025-01-15,14:38:40,560,9.48,6.08,A4,,
1,2025-01-15,14:39:58,561,9.52,6.08,A4,,
1,2025-01-15,14:40:12,562,9.56,6.08,A4,,
1,2025-01-15,14:40:56,563,9.5,6.08,A4,,
1,2025-01-15,14:41:32,564,9.6,6.08,A4,,
1,2025-01-15,14:41:55,565,9.56,6.08,A4,,
1,2025-01-15,14:42:38,566,9.56,6.08,A4,,
1,2025-01-15,14:42:54,567,9.6,6.08,A4,,
1,2025-01-15,14:43:13,568,9.44,6.08,A4,,
1,2025-01-15,14:43:40,569,9.54,6.08,A4,,
1,2025-01-15,14:44:01,570,9.64,6.08,A4,,
1,2025-01-15,14:44:45,571,9.32,6.08,A5,,
1,2025-01-15,14:44:56,572,9.52,6.08,A5,,
1,2025-01-15,14:45:20,573,9.48,6.08,A5,,
1,2025-01-15,14:45:54,574,9.54,6.08,A5,,
1,2025-01-15,14:46:29,575,9.44,6.08,A5,,
1,2025-01-15,14:46:55,576,9.54,6.08,A5,,
1,2025-01-15,14:47:15,577,9.58,6.08,A5,,
1,2025-01-15,14:47:40,578,9.52,6.08,A5,,
1,2025-01-15,14:47:58,579,9.46,6.08,A5,,
1,2025-01-15,14:48:18,580,9.52,6.08,A5,,
1,2025-01-15,14:49:29,581,9.58,6.08,A5,,
1,2025-01-15,14:49:41,582,9.48,6.08,A5,,
1,2025-01-15,14:49:57,583,9.52,6.08,A5,,
1,2025-01-15,14:50:20,584,9.62,6.08,A5,,
1,2025-01-15,14:50:40,585,9.54,6.08,A5,,
1,2025-01-15,14:51:04,586,9.52,6.08,A5,,
1,2025-01-15,14:51:23,587,9.42,6.08,A5,,
1,2025-01-15,14:52:05,588,9.48,6.08,A5,,
1,2025-01-15,14:52:27,589,9.48,6.08,A5,,
1,2025-01-15,14:52:43,590,9.46,6.08,A5,,
1,2025-01-15,14:53:27,591,9.44,6.08,A5,,
1,2025-01-15,14:53:38,592,9.5,6.08,A5,,
1,2025-01-15,14:54:01,593,9.52,6.08,A5,,
1,2025-01-15,14:54:22,594,9.52,6.08,A5,,
